temperature,blood_pressure,heart_rate,breathing_rate,vertical_speed,horizontal_speed
37.2,110.0,102.1,12.2,1.0,0.9
36.9,92.0,108.3,9.8,1.1,0.5
36.9,125.0,107.7,2.4,1.2,0.4
36.7,91.0,90.2,6.8,0.7,0.3
36.8,119.0,116.5,4.5,1.5,0.5
37.8,136.0,112.4,4.4,2.1,0.6
36.2,94.0,94.2,12.8,1.0,0.8
36.5,140.0,108.0,8.1,1.6,0.7
36.2,85.0,116.1,8.9,1.8,0.9
37.7,85.0,105.8,7.2,0.7,0.7
36.0,97.0,97.9,4.8,1.3,0.7
37.7,108.0,111.4,0.3,1.9,0.5
37.2,118.0,100.3,4.8,1.8,0.6
36.4,101.0,95.2,10.2,1.6,0.8
36.3,122.0,91.2,6.7,2.1,0.9
36.2,90.0,119.4,3.7,1.3,0.4
36.5,97.0,118.3,3.4,1.1,0.2
37.3,97.0,103.8,13.9,0.6,0.5
36.3,118.0,90.5,6.0,0.3,0.7
37.6,124.0,112.4,0.1,0.4,0.9
37.3,81.0,106.3,3.8,1.7,0.3
37.2,121.0,94.4,3.5,0.7,0.7
37.3,126.0,95.5,1.6,0.8,0.7
36.5,87.0,93.2,1.4,1.8,0.2
37.8,120.0,115.6,5.3,1.3,0.7
37.8,101.0,102.5,1.9,1.5,0.9
37.3,134.0,106.3,9.1,1.2,0.5
36.3,118.0,95.8,6.7,1.7,0.9
37.7,140.0,110.9,12.6,0.2,0.8
37.8,107.0,116.7,10.3,0.6,0.7
36.7,99.0,106.3,6.3,1.3,0.7
36.5,114.0,106.5,0.5,1.0,0.7
36.5,81.0,118.7,13.6,0.7,0.8
37.5,103.0,110.8,1.0,1.7,0.8
36.4,105.0,110.4,8.7,0.2,0.4
37.0,98.0,113.2,1.3,2.2,0.2
37.8,103.0,97.5,4.3,0.7,0.3
36.4,87.0,97.8,2.5,0.2,0.8
36.4,91.0,93.0,1.8,0.3,0.5
37.4,124.0,100.3,0.2,1.1,0.2
37.4,135.0,120.4,3.2,0.9,0.7
36.1,97.0,99.2,0.8,2.3,0.9
37.0,105.0,113.4,3.7,1.5,0.8
36.2,99.0,96.4,0.7,2.1,0.3
37.1,126.0,96.3,0.7,1.0,0.7
37.1,139.0,106.0,8.2,0.4,0.6
37.3,91.0,109.0,7.3,0.4,0.8
37.0,99.0,112.2,3.4,1.9,0.8
36.2,114.0,94.5,3.0,1.1,0.7
37.6,114.0,114.6,3.6,0.8,0.6
36.4,117.0,106.6,0.1,2.2,0.8
36.2,119.0,108.0,1.3,1.1,0.7
37.0,94.0,97.8,11.6,1.1,0.9
36.7,119.0,110.6,0.4,2.0,0.3
37.6,94.0,99.7,6.3,1.1,0.9
37.5,132.0,94.8,0.2,1.1,0.9
37.3,117.0,119.9,7.2,2.1,0.7
37.0,98.0,101.5,1.5,0.9,0.6
36.5,114.0,100.2,13.0,0.3,0.5
36.5,85.0,94.8,3.4,0.0,0.7
36.8,99.0,116.9,0.0,1.6,0.6
36.2,119.0,103.6,2.0,1.7,0.3
36.6,129.0,107.8,6.6,1.8,0.8
36.8,99.0,117.7,3.1,1.2,0.3
37.6,81.0,120.8,9.2,0.5,0.6
37.6,82.0,96.7,12.8,0.9,0.7
37.4,98.0,91.5,12.9,0.3,0.7
36.0,96.0,91.0,8.7,1.9,0.9
36.0,88.0,109.3,7.6,1.2,0.9
37.7,123.0,119.6,2.9,1.5,0.9
36.7,116.0,101.8,4.2,0.7,0.2
37.0,93.0,96.8,12.1,0.7,0.6
36.6,92.0,97.7,5.4,1.6,0.4
37.2,112.0,98.7,3.1,0.7,0.6
36.5,124.0,115.1,2.4,0.8,0.7
37.6,87.0,93.0,0.4,1.3,0.8
36.6,119.0,110.0,5.3,1.6,0.7
36.4,121.0,96.7,9.3,1.2,0.9
36.3,81.0,92.1,10.1,0.5,0.8
37.7,104.0,102.7,9.7,0.8,0.5
37.1,98.0,120.6,6.2,2.1,0.7
36.2,82.0,114.6,7.8,1.5,0.6
37.8,82.0,98.3,9.0,0.5,0.5
36.0,94.0,115.4,3.5,0.5,0.6
36.6,106.0,91.2,6.5,0.9,0.8
37.6,105.0,103.7,13.6,0.3,0.6
37.8,119.0,108.0,2.0,2.2,0.4
37.6,115.0,110.7,8.3,0.5,0.8
37.0,106.0,112.9,6.8,1.0,0.6
37.8,92.0,99.8,2.7,0.9,0.8
36.0,81.0,99.3,6.7,0.8,0.5
36.4,107.0,119.4,12.7,0.9,0.8
37.2,113.0,104.8,3.6,0.6,0.3
37.8,88.0,111.6,14.5,0.2,0.6
37.7,104.0,108.7,14.1,0.6,0.5
37.5,93.0,120.0,5.0,0.8,0.6
36.5,99.0,96.3,2.8,2.0,0.8
37.2,137.0,117.4,2.9,0.9,0.6
37.0,136.0,100.8,4.3,1.2,0.6
37.3,124.0,93.5,12.1,0.5,0.6
37.8,126.0,96.3,7.5,0.7,0.9
36.6,87.0,99.1,5.8,1.3,0.7
37.6,102.0,100.6,1.2,1.6,0.3
36.3,82.0,96.8,12.7,0.7,0.6
36.2,117.0,114.0,1.3,0.8,0.2
36.9,135.0,103.0,3.0,0.8,0.2
37.7,109.0,95.1,13.3,0.5,0.9
36.9,80.0,94.7,10.0,0.6,0.3
36.7,113.0,106.1,7.4,1.5,0.6
37.0,96.0,100.3,4.0,1.3,0.4
37.3,122.0,98.9,11.5,1.1,0.9
37.4,130.0,93.5,2.2,1.9,0.9
36.7,122.0,90.9,4.1,0.2,0.7
36.2,88.0,108.2,4.2,0.3,0.6
36.5,100.0,96.6,2.9,0.9,0.6
37.7,140.0,114.7,2.0,0.4,0.5
37.1,99.0,106.4,8.7,1.1,0.3
36.9,128.0,99.7,6.0,0.2,0.7
36.0,83.0,102.6,10.5,0.7,0.4
37.7,108.0,101.8,1.4,0.9,0.7
37.7,106.0,110.9,5.5,0.2,0.9
36.2,112.0,105.3,1.8,1.1,0.9
37.7,104.0,108.3,6.4,1.5,0.9
37.6,107.0,104.6,8.4,0.6,0.9
37.2,90.0,104.6,3.0,1.9,0.4
37.4,123.0,116.2,11.7,0.1,0.2
37.7,119.0,113.0,6.2,1.4,0.4
36.7,88.0,118.1,2.2,0.8,0.8
37.0,106.0,98.6,6.1,1.1,0.2
37.2,117.0,112.5,6.3,0.8,0.6
37.6,86.0,98.0,3.6,0.8,0.8
36.8,134.0,108.9,4.0,0.4,0.9
37.7,96.0,93.1,8.9,1.4,0.6
36.7,127.0,98.7,2.3,1.5,0.5
36.9,82.0,120.5,10.3,1.2,0.4
37.6,82.0,109.5,9.0,0.6,0.6
36.6,134.0,96.7,0.6,1.4,0.9
37.1,86.0,115.6,14.6,0.8,0.8
37.0,96.0,105.9,3.7,1.3,0.8
37.3,126.0,119.6,7.8,0.1,0.5
36.9,101.0,93.0,12.9,0.1,0.5
36.1,92.0,118.3,13.6,0.2,0.6
36.8,95.0,93.9,1.4,0.2,0.9
37.4,133.0,107.1,8.2,1.3,0.5
37.5,92.0,98.3,7.0,0.3,0.5
37.1,110.0,111.3,9.1,0.1,0.4
37.7,117.0,116.2,3.2,0.0,0.2
36.6,130.0,110.6,8.0,1.7,0.8
37.6,124.0,103.5,11.3,1.1,0.9
37.2,119.0,93.4,3.7,2.2,0.9
36.8,119.0,118.5,6.0,0.4,0.6
37.3,123.0,105.0,9.1,0.4,0.8
37.0,117.0,91.1,4.1,0.6,0.7
37.6,104.0,96.0,5.8,0.4,0.8
37.3,140.0,115.5,3.3,1.6,0.6
